Nome;Código
SA - BL A - TORRE 1 - 4º ANDAR - LAB. DE INSTRUMEN. E METROLOGIA ÓPTICA - L406-1;SAAT104L406
SA - BL A - SUBSOLO - LABORATÓRIO DE ANÁLISES AMBIENTAIS - LS17;SAASL17
SB - BL DELTA - 3º ANDAR - S376;SBDELTA03S376
SA - BL L - 5º ANDAR - MICROFABRICAÇÃO - L501;SAL05L501
SB - BL DELTA - 3º ANDAR - S326;SBDELTA03S326
SB - BL DELTA - 2º ANDAR - S237;SBDELTA02S237
SB - BL ZETA - 3º ANDAR - LABORATÓRIO DIDÁTICO SECO - L303;SBZETA03L303
SB - BL ZETA - 3º ANDAR - LABORATÓRIO DIDÁTICO SECO - L305;SBZETA03L305
SA - BL A - TORRE 1 - 6º ANDAR - S617-1;SAAT106S617
SA - BL A - TORRE 1 - 5º ANDAR - LABORATÓRIO DE MATERIAIS II - L505-1;SAAT105L505
SA - BL A - TORRE 3 - 6º ANDAR - SALA DE TRANSIÇÃO DO CCNH - R604-3;SAAT306R604
SA - BL A - TORRE 3 - 6º ANDAR - R603-3;SAAT306R603
SA - BL A - 1º ANDAR - A113-0;SAA01A113
SA - BL A - 1º ANDAR - A114-0;SAA01A114
SA - BL A - TORRE 2 - 3º ANDAR - S301-2;SAAT203S301
SA - BL A - TORRE 2 - 3º ANDAR - S310-2;SAAT203S310
SA - BL A - TORRE 3 - 3º ANDAR - S301-3;SAAT303S301
SA - BL A - TORRE 1 - 6º ANDAR - S638-1;SAAT106S638
SA - BL A - TORRE 3 - 6º ANDAR - SALA DE DOCENTE - S638-3;SAAT306S638
SB - BL ZETA - 2º ANDAR - S208;SBZETA02S208
SA - BL B - 10º ANDAR - S1013;SAB10S1013
SA - BL A - TORRE 3 - 3º ANDAR - S302-3;SAAT303S302
SA - BL A - TORRE 3 - 3º ANDAR - S303-3;SAAT303S303
SA - BL A - TORRE 3 - 3º ANDAR - S305-3;SAAT303S305
SA - BL A - TORRE 3 - 3º ANDAR - S306-3;SAAT303S306
SA - BL A - TORRE 3 - 3º ANDAR - S307-3;SAAT303S307
SA - BL A - TORRE 3 - 6º ANDAR - S642-3;SAAT306S642
SA - BL B - 8º ANDAR - S801;SAB08S801
SA - BL A - TORRE 3 - 3º ANDAR - S304-3;SAAT303S304
SA - BL A - TORRE 1 - 3º ANDAR - S301-1;SAAT103S301
SA - BL A - TORRE 1 - 7º ANDAR - SALA DE DOCENTE - S733-1;SAAT107S333
SA - BL A - TORRE 3 - 3º ANDAR - S308-3;SAAT303S308
SA - BL A - TORRE 3 - 3º ANDAR - S309-3;SAAT303S309
SA - BL A - TORRE 3 - 3º ANDAR - S310-3;SAAT303S310
SA - BL A - TORRE 3 - 3º ANDAR - S311-3;SAAT303S311
SA - BL A - TORRE 1 - 3º ANDAR - S303-1;SAAT103S303
SA - BL A - TORRE 1 - 3º ANDAR - S304-1;SAAT103S304
SA - BL A - TORRE 1 - 3º ANDAR - S306-1;SAAT103S306
SA - BL A - TORRE 1 - 3º ANDAR - S307-1;SAAT103S307
SA - BL A - TORRE 1 - 3º ANDAR - S309-1;SAAT103S309
SA - BL A - TORRE 1 - 3º ANDAR - S311-1;SAAT103S311
SA - BL A - TORRE 2 - 3º ANDAR - S302-2;SAAT203S302
SA - BL A - TORRE 2 - 3º ANDAR - S303-2;SAAT203S303
SA - BL A - TORRE 2 - 3º ANDAR - S304-2;SAAT203S304
SA - BL A - TORRE 2 - 3º ANDAR - S305-2;SAAT203S305
SA - BL A - TORRE 2 - 3º ANDAR - S306-2;SAAT203S306
SA - BL A - TORRE 2 - 3º ANDAR - S307-2;SAAT203S307
SA - BL A - TORRE 2 - 3º ANDAR - S308-2;SAAT203S308
SA - BL A - TORRE 2 - 3º ANDAR - S311-2;SAAT203S311
SA - BL B - 5º ANDAR - S501;SAB05S501
SA - BL B - 5º ANDAR - S502;SAB05S502
SA - BL B - 5º ANDAR - S503;SAB05S503
SA - BL B - 5º ANDAR - S504;SAB05S504
SA - BL B - 6º ANDAR - L604;SAB06S604
SA - BL B - 7º ANDAR - L704;SAB07S704
SA - BL L - 7º ANDAR - S703;SAL07S703
SA - BL A - TORRE 3 - 6º ANDAR - SALA DE DOCENTE - S641-3;SAAT306S641
SA - BL B - 4º ANDAR - PRÓ-REITORIA DE PÓS-GRADUAÇÃO - S401;SAB04S401
SA - BL A - TORRE 3 - 5º ANDAR - LAB. DE SISTEMÁTICA E DIVERSIDADE - L501-3;SAAT305L501
SA - BL A - TORRE 1 - 7º ANDAR - SALA DE DOCENTE - S716;SAAT107S716
SA - BL A - TORRE 3 - 6º ANDAR - DIVISÃO ACADÊMICA DO CCNH;SAAT306SDAC
SA - BL A - TORRE 3 - 6º ANDAR - DIVISÃO ADMINISTRATIVA DO CCNH;SAAT306SDAD
SA - BL A - TORRE 1 - 6º ANDAR - SALA DE DOCENTE - S636-1;SAAT106S636
SA - BL B - 9º ANDAR - S925;SAB09S925
SA - BL A - TORRE 1 - 5º ANDAR - LABORATÓRIO DE BIOCOMBUSTÍVEIS - L501-1;SAAT105L501
SB - BL DELTA - 3º ANDAR - SALA DE DOCENTE - S312;SBDELTA03S312
SA - BL B - 8º ANDAR - S808;SAB08S808
SA - BL A - TORRE 1 - 6º ANDAR - S607-1;SAAT106S607
SA - BL A - TORRE 2 - 5º ANDAR - S547-2;SAAT205S547
SA - BL A - TORRE 1 - 4º ANDAR - L401-1;SAAT104L401
SB - BL DELTA - 2º ANDAR - SALA DE DOCENTE - S287;SBDELTA02S287
SA - BL A - TORRE 2 - 4º ANDAR - LABORATÓRIO DE SISTEMAS COMPUTACIONAIS - L402-2;SAAT204L402
SA - BL A - TORRE 2 - 5º ANDAR - S548-2;SAAT205S548
SA - BL B - 10º ANDAR - ILHA DE IMPRESSÃO;SAB10ACILHA
SA - BL H - TÉRREO - ÁREA COMUM;SAH00AC0
SB - BL DELTA - 2º ANDAR - S282;SBDELTA02S282
SB - BL DELTA - 2º ANDAR - S226;SBDELTA02S226
SA - BL A - TORRE 3 - 6º ANDAR - S624-3;SAAT306S624
SA - BL A - TORRE 3 - 6º ANDAR - S607-3;SAAT306S607
SB - BL TAU - 3º ANDAR - S302;SBTAU03S302
SA - BL A - TORRE 1 - 7º ANDAR - SALA DE DOCENTE - S742-1;SAAT107S742
SA - BL B - TÉRREO - OFICINA;SAB00LOFICINA
SA - BL B - 8º ANDAR - SALA DE DOCENTE - S817;SAB08S817
SA - BL B - 8º ANDAR - SALA DE DOCENTE - S807;SAB08S807
SA - BL A - TORRE 1 - 1º ANDAR - GABINETE DA REITORIA;SAAT101S
SB - BL TAU - 3º ANDAR - S305;SBTAU03S305
SA - BL A - 2º ANDAR - ASSESSORIA DE COMUNICAÇÃO E IMPRENSA - ACI;SAA02SACI
SA - BL J - TÉRREO - ALMOXARIFADO DA DIVISÃO DE PATRIMÔNIO;SAJ00DP1
SA - BL J - TÉRREO - ALMOXARIFADO DA DIVISÃO DE SUPRIMENTOS E ALMOXARIFADO;SAJ00DP2
SB - BL DELTA - 3º ANDAR - SALA DE DOCENTE - S353;SBDELTA03S353
SB - BL ZETA - 1º ANDAR - LAB. DE ENGENHARIA BIOMÉDICA - L107;SBZETA01L107
SA - BL A - TORRE 1 - TÉRREO - GABINETE DA PROGRAD (ADM0004);SAAT100SGPROGRAD
SB - BL DELTA - TÉRREO - PROEC - S021A;SBDELTA00S021A
SA - BL A - TORRE 2 - 5º ANDAR - S506-2;SAAT205S506
SA - BL B - 8º ANDAR - S812;SAB08S812
SA - BL A - TORRE 1 - 6º ANDAR - S647-1;SAAT106S647
SA - BL A - TORRE 1 - 5º ANDAR - LAB. DE SIST. DINÂMICOS E EFI. ENER. - L504-1;SAAT105L504
SA - BL A - SUBSOLO - PREFEITURA UNIVERSITÁRIA (PU) - SS14;SAASSPU
SA - BL L - SUBSOLO - L002;SALSL2
SB - BL DELTA - 2º ANDAR - S230;SBDELTA02S230
SB - BL DELTA - 2º ANDAR - S254;SBDELTA02S254
SA - BL A - TORRE 2 - 6º ANDAR - S604-2;SAAT206S604
SA - BL A - TORRE 1 - 7º ANDAR - S749-1;SAAT107S749
SA - BL A - 02º ANDAR - CGFC;SAA02SCGFC
SA - BL A - 02º ANDAR - PROAD;SAA02SPROAD
SA - BL A - TORRE 3 - 4º ANDAR - S404-3;SAAT304S404
SA - BL A - TORRE 1 - 6º ANDAR - S646-1;SAAT106S646
SA - BL B - 2º ANDAR - CENTRAL COMPUTACIONAL MULTIUSUÁRIO - L207;SAB02L207
SA - BL A - TORRE 1 - 6º ANDAR - S644-1;SAAT106S644
SA - BL A - TORRE 3 - 6º ANDAR - S640-3;SAAT306S640
SB - BL DELTA - TÉRREO - LAB. DE ESTUDOS E PROJ. URB. E REG. - L015;SBDELTA00L015
SA - BL A - SUBSOLO - LABORATÓRIO DE INTELIGÊNCIA ARTIFICIAL - LS01;SAASLS01
SA - BL A - 2º ANDAR - ZELADORIA;SAA02SZL
SB - BL ALPHA - TÉRREO - SEÇÃO DE SEGURANÇA COMUNITÁRIA - S18;SBALPHA00S18
SA - BL A - TORRE 3 - 6º ANDAR - SALA DE DOCENTE - S646-3;SAAT306S646
SA - BL A - 1º ANDAR - SALA DE REUNIÕES SECRETARIA GERAL;SAA01RSG
SA - BL A - TORRE 2 - 4º ANDAR - LAB. HARDWARE E ROBÓTICA - L406-2;SAAT204L406
SA - BL B - 10º ANDAR - SALA DE DOCENTE - S1045;SAB10S1045
SA - BL L - 3º ANDAR - AUDITÓRIO CARLOS CHAGAS;SAL03ACARLOSCHAGAS
SA - BL A - SUBSOLO - SALA DE REUNIÃO DA CORREGEDORIA - S2;SAASR2
SA - BL L - 4º ANDAR - LAB. DE OTIMIZAÇÃO E ANÁL. DE SIST. DE ENER. ELÉT. - L406;SAL04L406
SA - BL B - 10º ANDAR - S1053;SAB10S1053
SA - BL A - TORRE 2 - 5º ANDAR - SALA DE PROFESSORES VISITANTES - S550-2;SAAT205S550
SA - BL L - 1º ANDAR - ENTIDADES: UFABC JR./IEEE - L112;SAL01L112
SA - BL B - TÉRREO;SAB00
SB - BL ZETA - 2º ANDAR - S209;SBZETA02S209
SB - BL TAU - 2º ANDAR - S202;SBTAU02S202
SB - BL DELTA - 1º ANDAR - DEPÓSITO DA EDITORA - 11C;SBDELTA01DP11C
SB - BL DELTA - 2º ANDAR - S269;SBDELTA02S269
SA - BL A - TORRE 3 - 7º ANDAR - LAB. CRISTALOGRAFIA CARACT. ESTR. MAT. - L704-3;SAAT307L704
SA - BL A - TÉRREO - PRÓ-REITORIA DE EXTENSÃO E CULTURA - S003-0;SAA00S003
SA - BL A - TÉRREO - PRÓ-REITORIA DE EXTENSÃO E CULTURA - S001-0;SAA00S001
SB - BL ALPHA - TÉRREO;SBALPHA00
SA - BL B - 10º ANDAR - SALA DE DOCENTE - S1049;SAB10S1049
SA - BL A - SUBSOLO - LAB. INTERD. PESQUISA EM ENSINO DE CIÊNCIAS - LS22;SAASL22
SA - BL A - TORRE 3 - 5º ANDAR - LAB. DE BIOL. MOLEC., BIOMAT. E MATER. - L507-3;SAAT305S507
SB - BL DELTA - 1º ANDAR - LAB. DE EVOLUÇÃO E DIVERSIDADE II - L102;SBDELTA01LL102
SB - BL DELTA - 3º ANDAR - SALA DE DOCENTE - S369;SBDELTA03SS369
SA - BL L - SUBSOLO - TELECOM;SALSTL
SA - BL B - 7º ANDAR - LABORATORIO FUTURENET / @NUVEM - L703A;SAB07L703A
SA - BL A - TORRE 3 - 7º ANDAR - LAB. DE NANOESTRUTURAS PARA BIOLOGIA E MATERIAI;SAAT307L703
SA - BL B - TÉRREO - ABCSIM;SAB00LL206
SA - BL B - 11º ANDAR - GRUPO DE ASTROPARTICULAS;SAB11LL1101
SA - BL B - 2º ANDAR - LAB. DE ELETROQUIMICA DE SUPERFICIES E INTERFACES;B02L201
SB - BL ALPHA - 3º ANDAR - SALA DE ESTUDOS - E301;SBALPHA03SE301
SB - BL DELTA - 1º ANDAR - LAB. DE ORGANISMOS PATOGENICOS - L105;SBDELTA01LL105
SB - BL DELTA - 2º ANDAR - TELECOM - TEL1;SBDELTA02TL1
SA - BL L - 7º ANDAR - DATA CENTER - S709;SAL07S709
SA - BL A - TORRE 3 - 5º ANDAR - LAB. DE SINTESE E FISICO-QUIMICA ORG. - L505-3;SAAT305L505
SA - BL B - 2º ANDAR - LAB. FOTOQUIMICA, FOTOFISICA E CONV. ENERGIA - L202;SAB02L202
SA - BL A - TORRE 3 - 5º ANDAR - LAB. DE FISICA DA MATERIA CONDENSADA I - L506-3;SAAT305L506
SA - BL A - TORRE 3 - 5º ANDAR - LAB. DE PROSPECÇÃO E CARACT. DE COMP - L503-3;SAAT305L503
SA - BL L - 5º ANDAR - LAB. DE BIOLOGIA QUIMICA - L507;SAL05L507
SB - BL ALPHA - 1º ANDAR - S102;SBALPHA01S102
SB - BL ALPHA - 3º ANDAR - LABORATÓRIO DIDÁTICO ÚMIDO - L302;SBALPHA03L302
SB - BL ALPHA - 3º ANDAR - LABORATÓRIO DIDÁTICO ÚMIDO - L301;SBALPHA03L301
SB - BL ZETA - 3º ANDAR - LABORATÓRIO DE ELETRÔNICA - L304;SBZETA03L304
SB - BL ZETA - 3º ANDAR - LABORATÓRIO DE TERMO-FLUIDO - L302;SBZETA03L302
SB - BL ZETA - 3º ANDAR - LABORATÓRIO DE BASES E EQUIPAMENTOS MÉDICOS - L307;SBZETA03L307
SA - BL A - TORRE 2 - 5º ANDAR - S511-2;SAAT205S511
